ceeb,ncessch
050905,061323001504
050906,061323001505
050912,063462005756
050915,063462005769
052726,063462008192
050919,061336010429
050910,061336001510
050911,061336001516
050909,061336001526
050921,063963006597
053533,063963006600
050925,061353001545
050929,061353001546
050923,061353005258
050924,060003507903
050927,063474005865
050930,060003701551
050935,061380001555
050937,061384001561
050940,061389001570
050931,061389008280
050944,061392010301
050941,061392001586
050945,061392001589
050942,061392008290
050947,060267000194
050955,061407001610
050957,061407000660
050949,061419001619
050965,061419001620
050964,061806002228
050963,061488001858
051223,061806002235
050967,061425001638
050974,061440001654
050292,060000310347
051061,061440007479
050968,061440001671
050966,061440001672
050970,061440001678
050961,061440001686
050952,061440009369
050972,061440001692
050973,061455001711
051054,061455001986
050975,060797005777
050982,060903000906
050997,061455008841
050980,061455001723
050985,061455001730
050989,061455001737
050951,061455005749
050977,061455001754
051048,061455007497
051045,061455007963
050995,061455001762
050936,063680508477
051056,061458008472
051000,064164006864
050932,064206003032
051010,061476001810
052923,061476007723
051006,061476001812
051008,061476001815
051009,061476001816
051014,061482001820
051015,061482001821
051028,061488001827
051030,061488001844
053734,061488007724
051034,061488001868
051032,061488001874
051033,061488001878
051036,060524000495
051020,062271003034
051022,062271003190
051035,061515001906
051040,061518001911
051073,061518010403
051043,061518001915
051052,061524001924
051050,061524001931
051060,061524001933
051066,060819000798
051070,061527001953
050189,060360000283
051078,061527001960
053252,063537006017
051085,060004607183
051088,062271003050
051089,062271003108
051106,063363006168
051092,062688008918
051112,062688009408
051095,062688004064
051104,062688010261
051062,062688010262
051114,062688002269
051096,062688007794
051097,062688009953
051113,061965008221
051100,063117004821
051101,063117008179
051105,060005102016
051992,069113710339
051115,061632302033
052694,061632502072
051360,061632502053
051120,060678000599
051125,061644002078
051130,061650002085
051128,061650007506
051135,063694006277
051137,062271003276
051140,062271003209
051145,060792000756
051148,060001809107
051196,060001809106
051154,061674002123
051150,061674002116
051153,061674002124
051199,063471005858
051152,061674002135
051160,060004402140
051162,060004406727
051166,061692002149
051165,061692002154
051161,061692009852
051206,063255008691
051170,060001109065
051202,060001407287
051168,060001409072
051181,060001409073
051187,060001405093
051174,063417007344
051175,061722002177
051179,063414008958
051180,063414005344
051200,061743002185
051204,060003807500
051205,061995002390
051215,060006002212
051218,061806002226
051220,061806002230
051221,061806002232
051224,061806002233
051230,062271003098
051240,061821002243
051242,063864006486
051245,062919004500
051246,061111007694
051247,061111001226
051255,060011510538
051257,062142008504
051261,061839008716
